A_ID,B_ID
457060718,1483863304510398466
140496030,1497921901079019529
202615056,1495328038665564164
202615056,1495328004632981520
288417339,1495328184346238976
80797203,1495327375567077381
1223514530,1489973691039498240
74468291,1495328160556146688
741190491195248642,1495328092377784323
126646669,1495328397794414594
2447612839,1518705706056122368
16050065,1520410483123232768
16050065,1520410410435887104
16050065,1520408836225572864
16050065,1511737209929486336
16050065,1511737248764596245
16050065,1511737180187770886
16050065,1511737122616655877
16050065,1511737091457171465
16050065,1511737044032176131
16050065,1511736944782450695
16050065,1520408369517019137
16050065,1511736918937067532
16050065,1511736879519084552
16050065,1511736831812984840
16050065,1511736781443674115
16050065,1511736744529563651
16050065,1520407795304210433
16050065,1520407240976609285
16050065,1520407051268206595
16050065,1520406783730327553
16050065,1520406741292392448
16050065,1520406458957025282
794280157238398977,1495328572646559744
16050065,1520405523862073344
212445456,1485094614461730818
541637104,1485214955553148931
16050065,1520405055844892680
1012636248341647360,1495327389596987392
2228948601,1495740724121423875
73452506,1500218088544890880
1074319644482105344,1513905364290326530
1033994695595065347,1478990198419509249
359909501,1492535215973183491
353904158,1515230184542195714
338283123,1495327567259357187
3129968261,1500595985512210432
2147604445,1487137579459919872
105327432,1509203003395428357
11265142,1495935059794468864
11265142,1495935079579025408
11265142,1495935090073161728
11265142,1495935099665522689
11265142,1495935109693911041
11265142,1495935122625163264
11265142,1495935140002144256
4541535439,1495245709569757186
888042960549552129,1495328536407814144
1122772202246377473,1494998464878768128
3866705320,1511799167802294272
16050065,1520403880542187525
2755824759,1495328441591545859
2748061373,1495328527029309441
872158753008877569,1515973835924946946
16050065,1520403342404562945
22867931,1477451298253332480
14784939,1485959174316044292
15384720,1517580338427424768
865238462538141697,1517130891998412801
35157660,1499201135894167555
1688,1501350501740265475
16050065,1520401749718220802
16050065,1520401373837377536
288277167,1508881270687870979
219652469,1477667845882404867
11348282,1496214366781415431
246285992,1484736496158584833
480196886,1508701874316365824
14704278,1491571862853271560
1171659473880059905,1511107950663847953
15196454,1488334099530063874
209420680,1505588513097793544
703314862198431744,1499589245119381505
62513246,1498631540561096708
16050065,1520399742567694336
1108027439589007360,1504743883636453380
952755407788826624,1495622803340550152
151376102,1478900241202040837
1137233693548748800,1512539303800631304
19424173,1492949868524056582
74382140,1484282538927349761
74382140,1484282623060951040
39736714,1486094439986737162
1228930686,1519096462902272006
201806277,1505361978256244736
16050065,1520398940847362049
2813049204,1506553508098625541
825829081866436608,1479444297875341318
3131144855,1485706253087252483
831279407088148480,1478295353887649796
831279407088148480,1478295293862965248
1052497879,1488562830924210182
18831926,1484350568562712582
225225182,1478810860407590912
1229752606714728454,1482612964414873602
1063756244496859137,1514888568765923331
21217251,1495375992290004992
1147170768415010816,1508865575396777992
14784939,1492484457617629188
1339357320,1492680335372562440
1063756244496859137,1483338085769232387
14504859,1506930994158477315
79210192,1489377093452501002
84734907,1489377158334238720
1229752606714728454,1482613442112634880
1229752606714728454,1482613573952151555
876794657669353472,1495126743174242313
939091,1507676076868259851
2932558313,1519715158616162304
876794657669353472,1495126713776410624
159720223,1517127375045156866
1229752606714728454,1494653903186575366
1229752606714728454,1494653964700246017
1229752606714728454,1494653995041832968
1229752606714728454,1494654013400395776
1229752606714728454,1494654045725900801
1229752606714728454,1494654065720152065
1229752606714728454,1477946626006306817
1229752606714728454,1484291048755109888
1090600527040208896,1508806519655120905
763540200979136512,1477270367869702144
876794657669353472,1495126675817910274
14566366,1519909791187226625
1229752606714728454,1482612598273155074
1229752606714728454,1494653237571600388
22317663,1493083607123955715
2412223020,1477447472876113925
1229752606714728454,1482612675972640768
1244075939946016769,1478480710230970369
767788995962998784,1494257345223929858
3657013654,1494257946817179648
182663887,1516749561636995075
1259754020404514816,1510106800418349059
17094311,1518744405749997569
1229752606714728454,1482613937174683650
107460232,1518705623772241920
4836006376,1477978143491305481
713273274529144833,1493309502229483521
1006165181871910912,1481398676379652098
880755910230110208,1483873458278723585
876794657669353472,1495126643039477760
920943710254313472,1485423200553119749
1260885935383666688,1490262250925748224
90329934,1501282994182569988
250691621,1489229268764737547
3114836574,1488877078724419584
879043594329497600,1513478576376627208
136019527,1491785491418533891
2552935555,1497220614393933825
1084513841172623366,1486791849503121413
2552935555,1497220838512381956
2552935555,1497220861069246513
2552935555,1497220878404403200
2552935555,1497220899849781251
2460974640,1495328632931336197
119806126,1495328611297079296
2460974640,1495328686186373125
2552935555,1497220956317622278
2552935555,1497221051692064769
2552935555,1497221236132298769
880918346522398720,1483059385438031880
1317220261050056704,1498489779985567747
28537321,1478733539923300356
1229752606714728454,1488537620795830290
1229752606714728454,1494653017173467144
2439127994,1513331981517422596
191100226,1492422508854710274
1098968765755207683,1488248360280723458
2345299433,1511313591349268485
19030484,1485681107861446658
1296279134079823872,1504481816232701952
909519301299892225,1512951160402968578
3141672447,1482101857119977475
18831926,1487938398136541184
354431372,1481794608258772994
15923351,1492229550146605059
18831926,1478321863612768257
18831926,1495144452557402116
18831926,1499472458407034890
18831926,1501330871634186242
18831926,1507038856687673354
18831926,1512530935576596480
18831926,1518442562264076288
862461535,1490107143483105283
20304668,1481594715791372291
1209363237541576704,1491311764864368642
2542032578,1513733402469580803
207323988,1503590416226074624
4541535439,1518751383838625792
2813049204,1485200436336500736
274832868,1505204464122314753
136310943,1510960337872371720
851211,1480237221525569541
246612992,1517729666689241088
1294116419802525699,1517726313791954944
1166383164148895751,1480524244597583881
44060932,1490780361827270663
35337644,1492303615058403330
1315900032365793281,1508057271036792838
39689218,1504337317955260417
993492864066768899,1497855093420408836
1229752606714728454,1494653424570449923
46822887,1501929736532111360
454071012,1487975636769468420
454071012,1499269002043875328
454071012,1518464707396800512
1688,1500733323685109761
956516400343986176,1486333585854500866
1885246238,1505713895662821376
83989520,1482090389981085699
2552935555,1497220756488470534
616327955,1506279471191818240
24238030,1494497036900741155
3233947414,1516199627879501827
1229752606714728454,1494651897751474181
880129799879970817,1507592305359953927
1307390559301120014,1485242796818665472
1118019922108370945,1517167143745470465
586291040,1512496919506997250
1229752606714728454,1496054295661363200
2974994770,1495128337576087556
1143296723638337536,1501675006354653187
1381782598389743617,1517834570745491456
2813049204,1514252087504384001
1160668060614717440,1487010644582748160
758114193895665664,1492630654831382529
1229752606714728454,1482612220710244352
1229752606714728454,1496052879316168704
2523800916,1500832564239605762
1229752606714728454,1479851182776586242
16050065,1520388138622926850
16050065,1520388163075809282
16050065,1520388201227165698
1012201853877186562,1495040041713868812
1657761703,1487529594920095753
541637104,1520215695824408576
42034114,1514601327967731713
4510762632,1490602752078057479
1229752606714728454,1482612268441419779
1229752606714728454,1496052927911366657
1063211677,1507222544944070658
2439127994,1506590396729729028
2831637409,1490441000099233799
22317663,1493085152699813889
22466396,1509841885753483265
