ventilationmatters 1001228776032763905.hashtags 140.28571428571428653636 .14285714285714285714 .00101832993890020366 2 14 4 3928
covidisairborne 1001228776032763905.hashtags 2.25660666411336652626 .21428571428571428571 .09495926680244399185 3 14 373 3928
longcovid 1001228776032763905.hashtags .21825859865533144412 .14285714285714285714 .65453156822810590631 2 14 2571 3928
longcovidkids 1001228776032763905.hashtags 1.70043290043290043294 .07142857142857142857 .04200610997963340122 1 14 165 3928
kovidkenney 1001228776032763905.hashtags 140.28571428571428653636 .07142857142857142857 .00050916496945010183 1 14 2 3928
unsafeschoolsab 1001228776032763905.hashtags 210.42857142857142980454 .21428571428571428571 .00101832993890020366 3 14 4 3928
unsafeschoolsab 1001228776032763905.hashtags 210.42857142857142980454 .21428571428571428571 .00101832993890020366 3 14 4 3928
covidmisinformation 1001228776032763905.hashtags 280.57142857142857858314 .07142857142857142857 .00025458248472505091 1 14 1 3928
covidisairborne 1001228776032763905.hashtags 2.25660666411336652626 .21428571428571428571 .09495926680244399185 3 14 373 3928
unsafeschoolsab 1001228776032763905.hashtags 210.42857142857142980454 .21428571428571428571 .00101832993890020366 3 14 4 3928
covidisairborne 1001228776032763905.hashtags 2.25660666411336652626 .21428571428571428571 .09495926680244399185 3 14 373 3928
n95sforall 1001228776032763905.hashtags 31.17460317460317471782 .07142857142857142857 .00229124236252545824 1 14 9 3928
ventilationmatters 1001228776032763905.hashtags 140.28571428571428653636 .14285714285714285714 .00101832993890020366 2 14 4 3928
firetheucp 1001228776032763905.hashtags 11.69047619047619048729 .07142857142857142857 .00610997963340122199 1 14 24 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
teamjustice 1003107003693137921.hashtags 32.73333333333333339722 .12500000000000000000 .00381873727087576374 10 80 15 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
teamjustice 1003107003693137921.hashtags 32.73333333333333339722 .12500000000000000000 .00381873727087576374 10 80 15 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
teamjustice 1003107003693137921.hashtags 32.73333333333333339722 .12500000000000000000 .00381873727087576374 10 80 15 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
inherentcontempt 1003107003693137921.hashtags 49.10000000000000125303 .01250000000000000000 .00025458248472505091 1 80 1 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
investigatenow 1003107003693137921.hashtags 49.10000000000000125303 .01250000000000000000 .00025458248472505091 1 80 1 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
wefighton 1003107003693137921.hashtags 49.10000000000000125303 .01250000000000000000 .00025458248472505091 1 80 1 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
teamjustice 1003107003693137921.hashtags 32.73333333333333339722 .12500000000000000000 .00381873727087576374 10 80 15 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
justicematters 1003107003693137921.hashtags 34.15652173913043479386 .80000000000000000000 .02342158859470468431 64 80 92 3928
